"Timestamp","1. When you're coding, how often do you have R open somewhere on your computer (in any form, including RStudio desktop, RStudio server, or Microsoft R Open)? Note: If â€œnever,â€ please feel free to skip the remaining questions.","2. When you're coding, how often are you listening to music? Note: If â€œnever,â€ please feel free to skip the remaining questions. Though also feel free to read out of curiosity and answer when it makes sense.","3. Do you enjoy hearing music that's new to you... including while you code? Note: If â€œactively dislike,â€ please feel free to skip the remaining questions. Though also feel free to read out of curiosity and answer when it makes sense.","4. How often do you share the music you're listening to with other people?","5â€“8. Of the time you're coding to music, how often do you listen toâ€¦ [a set playlist]","5â€“8. Of the time you're coding to music, how often do you listen toâ€¦ [a radio-like experience]","5â€“8. Of the time you're coding to music, how often do you listen toâ€¦ [a song on repeat]","5â€“8. Of the time you're coding to music, how often do you listen toâ€¦ [random songs]","9. Only if you're comfortable answering: When you have R open, how often is it running on a remote machine, e.g. on RStudio Server or via SSH?","1. A real-time collaborative playlist / radio experience? You & others would listen to the same music at the same time, and any of you can add music for the group as you go.","2. Interacting with the playlist using R (connected to a server via plumber API)? For example, there might be functions to list and join active stations, add tracks, upvote / downvote songs, flag content, and save music for later.","3. Connecting your listening experience to Twitter? I.e. you might know that you're collaborating with @thomasp85 on a station inspired by Koop, or you could invite @beeonaposy to listen to Ratatat.","4. Creating and editing playlists within the same experience? For example, sometimes you might just listen to a playlistâ€”but this feature would also help you organize tracks for easy recall later.","5. All your data being available to you, in a tidy format, to remember just what you listened to on what stations and when?","6. Sharing some of that data? You would have control over what listening history / upvoting / downvoting / flagging data is publicly visible.","7. Being able to save your active R project name and filename as secure, one-way hashes? That way you could ask â€œwhat songs did I listen to when I was working on this code?â€ But you couldn't ask â€œwhat projects and files did I code to this song?â€ (And more importantly, no one else could.)","8. As a data scientist, being able to create & deploy your own music-selecting bots to add tracks to a shared station? You could use R (tutorials + vignettes TBD), with whatever data you and other R users make available as you listen to music.","9. As a member of the #rstats community, being able to check out the results of other people's music bots?","10. A shiny web app to open this functionality to non-R-users? That way it's not cloistered within the #rstats community. It would still be R-native, though, and (to borrow a phrase from @tylermorganwall) data would be a first-class citizen.","1. How would you prioritize... the ability to import your current playlists from other services and websites?","2. How would you prioritize... the ability to sync playlists / favorites back to other services or websites?","3. If you're comfortable answering, what's streaming service(s) do you usually use to listen to music (e.g. Spotify, Amazon, Apple, Google, YouTube, SoundCloud, or just owned music)?","4. Among the services you use: Some people have a strong preference for 1â€“2 music servicesâ€”maybe they have a long history with it or they pay for a subscriptionâ€”while others bounce around and listen to music wherever they find it. Where would you place yourself in that spectrum?","5. If you have a strong preference, do you mind sharing it? If you don't mind, please share below:","6. How would you want the project to handle it the situation described?","7. How would you prioritize your preferred solution? (Doesn't apply to all answers.)","8. Any other comments on music service integration?","1. Several companies offer authentication services, where you â€œSign in with [company name]â€ (often called OAuth2). If I picked, say, 1â€“2 that most people are OK with, it would streamline the process quite a bit. Which of the following authentication options might you use if it was available? (Select one or more that apply.)","2. Are there any of these services you would *not* use for authentication? I wouldn't want to prioritize an option that most people are actively opposed to.","3. Please share anything else youâ€™d like to on authentication. This is important to me, as it could be a barrier to adoption, and it could also be simple to address.","1. If in the end this appears to be a good ideaâ€”good enough to continueâ€”would you be interested in helping out in any of these ways? If so, please reach out via Twitter (@BenjaminWolfe) or R4DS.online (DM Benjamin Wolfe), or share your contact information in the comments (Twitter or R4DS Slack preferred).","2. Anything else you'd like to say or ask after reading through the survey? If asking a question, please make sure I know who you are so I can answer you. (Again, Twitter or R4DS Slack handle is preferred, for the sake of manageability.)"
"2020/03/03 10:19:10 AM EST","5","3","4","rarely","5 (almost always)","1 (never)","2","4","3","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","2","3","Spotify","4","Spotify","the crowdsourced way (see above)","4","","Google;Twitter;GitHub","Facebook;Apple;Amazon;Bitbucket","","bounce ideas around on design or implementation strategy;help code or test a feature;help write documentation & vignettes;retweet about a cool finished product",""
"2020/03/03 10:35:25 AM EST","5","4","3","sometimes","4","3","4","2","4","â¤ï¸love it","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","âŒno interest","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","3","3","Amazon, Google music, YouTube, Soundcloud","4","Not spotify","the crowdsourced way (see above)","","","Twitter;GitHub","Facebook;Bitbucket","","bounce ideas around on design or implementation strategy;help code or test a feature;help write documentation & vignettes;retweet about a cool finished product",""
"2020/03/03 10:38:31 AM EST","3","4","4","sometimes","5 (almost always)","1 (never)","2","3","2","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","5","2","Spotify","5","Spotify","the simple way (see above)","2","Spotify connection would be most important for me","Spotify","Google;Twitter;Facebook","Please allow just regular ol' username and password!","bounce ideas around on design or implementation strategy;help code or test a feature;help write documentation & vignettes;retweet about a cool finished product","Thanks for the shoutout. This sounds like an awesome project! (from Caitlin)"
"2020/03/03 10:48:21 AM EST","5","5","3","rarely","3","3","1 (never)","4","5","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","2","2","YouTube, SoundCloud","3","","the crowdsourced way (see above)","3","","Google;Twitter;GitHub","Facebook","","",""
"2020/03/03 10:49:21 AM EST","5","4","3","often","5 (almost always)","1 (never)","2","1 (never)","2","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","","","","","","","","","","","","",""
"2020/03/03 10:56:53 AM EST","5","4","2","rarely","4","3","3","1 (never)","2","âŒno interest","âŒno interest","","","","","","","","","","","","","","","","","","","","",""
"2020/03/03 10:57:11 AM EST","5","4","3","sometimes","3","5 (almost always)","4","1 (never)","2","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","â¤ï¸love it","âŒno interest","ğŸ¤I'm curious","5","5","Spotify, Amazon, YouTube ","2","","no preference","","","Google;Spotify","Facebook","","retweet about a cool finished product",""
"2020/03/03 12:10:41 PM EST","5","5","2","never","5 (almost always)","2","3","1 (never)","1","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","âŒno interest","âŒno interest","âŒno interest","âŒno interest","âŒno interest","âŒno interest","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","5","5","Spotify","5","Spotify","the crowdsourced way (see above)","3","","Google;Spotify","Twitter;Facebook;Apple","","",""
"2020/03/03 12:47:55 PM EST","5","3","4","rarely","2","","1 (never)","1 (never)","1","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","âŒno interest","âŒno interest","âŒno interest","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","5","5","Spotify","4","Spotify","the crowdsourced way (see above)","2","","Google;Twitter;Spotify;GitHub","Facebook;Apple;Amazon;GitLab;Bitbucket","","bounce ideas around on design or implementation strategy;help code or test a feature",""
"2020/03/03 2:15:48 PM EST","5","3","5","sometimes","2","4","1 (never)","1 (never)","3","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","2","1","Google, YouTube","4","Google music","the simple way (see above)","3","","Twitter;GitHub","Facebook;Apple;Amazon","","help write documentation & vignettes;retweet about a cool finished product",""
"2020/03/03 2:51:37 PM EST","5","4","4","sometimes","4","2","1 (never)","1 (never)","1","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","ğŸ¤I'm curious","2","5","YouTube","2","I don't like needing a Facebook login or $$$ so nothing like Spitify","the simple way (see above)","1","","Google;GitHub","Facebook;Spotify;Apple;Amazon","","retweet about a cool finished product","@tdawry"
"2020/03/03 2:54:40 PM EST","5","4","3","often","4","2","","2","5","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤I'm curious","4","4","Spotify","4","Spotify","the crowdsourced way (see above)","3","I prefer Spotify but one problem is it not having some key content, i.e. the early Carcass and Suicidal Tendencies albums - this really breaks the convenience overall - I ""prefer Spotify"", but this is an open problem for me. ","Google;Twitter;Facebook;Spotify;GitHub","Apple","","help code or test a feature;retweet about a cool finished product","good luck this is a really cool idea!  @mdsumner"
"2020/03/03 2:56:40 PM EST","4","5","4","often","4","5 (almost always)","1 (never)","2","5","âœ…I already do this","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","ğŸ¤I'm curious","4","4","spotifyt","5","spotify","the hard way (see above)","3","go for spotify loose youtube as it is annoying","Google;Twitter;Spotify;GitHub;GitLab","Facebook;Apple","","",""
"2020/03/03 4:57:33 PM EST","5","5","3","often","5 (almost always)","2","3","1 (never)","1","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","4","1","Spotify","5","Spotify ","the crowdsourced way (see above)","3","","Twitter;Spotify;GitHub","Facebook;Apple;Amazon","","bounce ideas around on design or implementation strategy;help code or test a feature;help write documentation & vignettes;retweet about a cool finished product",""
"2020/03/03 8:43:28 PM EST","5","4","3","sometimes","3","4","2","2","2","âŒno interest","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","4","3","Amazon, YouTube ","4","Amazon  ","the crowdsourced way (see above)","3","","Google;GitHub","Twitter;Facebook;Apple","","help me think through data privacy;retweet about a cool finished product",""
"2020/03/04 7:07:50 AM EST","5","2","4","rarely","2","3","1 (never)","1 (never)","1","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","ğŸ¤I'm curious","â¤ï¸love it","5","5","Spotify, YouTube","3","","the crowdsourced way (see above)","1","","Google;Spotify;GitHub","Facebook;Apple","","help me think through data privacy;help code or test a feature;retweet about a cool finished product",""
"2020/03/04 7:38:12 AM EST","4","3","4","rarely","5 (almost always)","4","1 (never)","1 (never)","3","ğŸ¤·â€â™€ï¸maybe?","âŒno interest","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","â¤ï¸love it","âŒno interest","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤I'm curious","4","2","","2","","no preference","","","I think you'd do better with a different method of authentication (please specify in comments at the end of the section!)","Facebook;Amazon","I really don't want to give my data to these providers, any other authentification is fine, plain and stupid email and password although not ideal, works for everyone. You could go exotic and also allow SQRL","help code or test a feature;help write documentation & vignettes;retweet about a cool finished product",""
"2020/03/04 8:47:52 AM EST","5","5","3","sometimes","3","2","4","1 (never)","4","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","ğŸ¤I'm curious","4","4","Spotify","5","Spotify","the crowdsourced way (see above)","2","","Spotify;GitHub","Google;Facebook;Apple;Amazon","If itâ€™s â€œR user centricâ€ it should be authenticated with common coder auths, not social media","",""
"2020/03/04 8:55:14 AM EST","5","4","4","rarely","3","4","4","5 (almost always)","2","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","5","4","Amazon","5","","the simple way (see above)","3","","GitHub","Google","","help write documentation & vignettes",""
"2020/03/04 9:06:31 AM EST","5","4","5","sometimes","2","4","2","3","2","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","4","4","Spotify","4","Strong preference only because I don't like change :/ Was originally a Microsoft Zune > Xbox Music > Groove Music pass user and liked that it was built into Windows.  When that ended, I switched to Spotify because MS provided a discount price.  Now Spotify and Hulu are connected.","the crowdsourced way (see above)","2","","Google;Spotify;GitHub","Facebook;Apple;GitLab;Bitbucket","","bounce ideas around on design or implementation strategy;help code or test a feature;help write documentation & vignettes","@BradfordDykes"
"2020/03/04 9:20:47 AM EST","5","4","4","rarely","5 (almost always)","1 (never)","4","2","1","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","5","5","Spotify","5","Spotify","the hard way (see above)","5","","Google;Twitter","Facebook;Apple;Amazon;Bitbucket","","retweet about a cool finished product",""
"2020/03/04 9:39:36 AM EST","3","2","4","often","3","1 (never)","1 (never)","1 (never)","1","âŒno interest","âŒno interest","âŒno interest","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","ğŸ¤I'm curious","âŒno interest","âŒno interest","âŒno interest","âŒno interest","5","5","Spotify","5","Spotify","the hard way (see above)","1","","Google;Facebook;Spotify;Apple;GitHub","Amazon;GitLab;Bitbucket","","",""
"2020/03/04 1:22:02 PM EST","4","5","5","rarely","4","2","2","5 (almost always)","4","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤I'm curious","â¤ï¸love it","âœ…I already do something like this","â¤ï¸love it","âœ…I already do something like this","âœ…I already do this","â¤ï¸love it","ğŸ¤I'm curious","5","5","YouTube","5","YouTube Music","the crowdsourced way (see above)","5","","Google;GitHub;GitLab;Bitbucket","Facebook","","retweet about a cool finished product","@aT0le"
"2020/03/04 4:29:18 PM EST","5","3","3","never","5 (almost always)","4","1 (never)","2","3","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","4","5","Spotify","5","Spotify","the crowdsourced way (see above)","2","","Spotify;Apple","Facebook;Amazon","","retweet about a cool finished product",""
"2020/03/04 5:24:54 PM EST","5","5","4","sometimes","2","4","1 (never)","3","2","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","5","5","owned music via Volumio or Radio Paradise 50/50","1","","the crowdsourced way (see above)","3","","Google;GitHub;GitLab;Bitbucket","Twitter;Facebook;Spotify;Apple;Amazon","","bounce ideas around on design or implementation strategy;help code or test a feature;help write documentation & vignettes;retweet about a cool finished product","adamhsparks"
"2020/03/04 5:35:40 PM EST","3","4","4","sometimes","3","4","1 (never)","4","1","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","âŒno interest","ğŸ¤I'm curious","ğŸ¤I'm curious","â¤ï¸love it","4","4","spotify, youtube","5","spotify","the crowdsourced way (see above)","2","","Google;Spotify","Twitter;Facebook;GitHub;GitLab;Bitbucket","spotify would be required to not have ads, i think?","bounce ideas around on design or implementation strategy;help code or test a feature;retweet about a cool finished product","@nmoorenz, have just followed you"
"2020/03/04 6:57:19 PM EST","5","4","4","sometimes","4","3","1 (never)","2","1","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","4","5","Spotify","5","Spotify (paid subscription)","the crowdsourced way (see above)","2","","Google;GitHub","","","bounce ideas around on design or implementation strategy;help write documentation & vignettes;retweet about a cool finished product",""
"2020/03/04 9:14:53 PM EST","4","4","3","rarely","4","1 (never)","2","4","1","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","âŒno interest","ğŸ¤I'm curious","ğŸ¤I'm curious","âŒno interest","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","5","4","YouTube","5","YouTube","the simple way (see above)","3","","I disagree that the package would need authentication (please specify in comments at the end of the section!)","Google;Facebook;Apple;Amazon","","",""
"2020/03/05 3:14:29 AM EST","5","5","5","sometimes","3","4","1 (never)","4","2","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","5","2","Youtube, Google","5","Youtube","the simple way (see above)","4","","Google","Twitter;Facebook;Spotify;Apple;Amazon;GitHub;GitLab;Bitbucket","","bounce ideas around on design or implementation strategy;help me think through data privacy;help code or test a feature;help organize collaborators (project management);retweet about a cool finished product",""
"2020/03/05 7:11:25 AM EST","4","2","3","rarely","3","3","1 (never)","1 (never)","3","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","4","3","","","","no preference","","","Google;GitHub","","","",""
"2020/03/05 8:14:22 AM EST","5","3","3","sometimes","4","2","2","3","1","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","ğŸ¤I'm curious","Not sure how this would do something different than Spotify, if you take away the integration with R.","5","3","Spotify","5","Almost always use Spotify","the crowdsourced way (see above)","3","","Google;Spotify;GitHub","Apple;Amazon;GitLab;Bitbucket","","bounce ideas around on design or implementation strategy;retweet about a cool finished product","I'm @kaija_bean on Twitter"
"2020/03/05 8:47:10 AM EST","5","4","4","sometimes","4","3","5 (almost always)","2","1","ğŸ¤I'm curious","â¤ï¸love it","âŒno interest","â¤ï¸love it","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","5","4","YouTube, own music, radio","2","","the crowdsourced way (see above)","1","","Google;Twitter;GitHub","Facebook;Spotify;Apple;Amazon;GitLab;Bitbucket","","help write documentation & vignettes;retweet about a cool finished product",""
"2020/03/05 9:24:33 AM EST","4","4","3","rarely","4","2","5 (almost always)","1 (never)","1","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤I'm curious","4","5","SoundCloud, YouTube","4","I prefer soundcloud though have used Spotify a lot in the past. Sometimes I can't afford to pay for a service and just use YouTube","the crowdsourced way (see above)","2","","Google;Twitter;GitHub","Facebook;Apple;Amazon","","retweet about a cool finished product",""
"2020/03/05 11:45:28 AM EST","5","5","4","rarely","5 (almost always)","2","3","4","1","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","ğŸ¤I'm curious","4","3","Spotify","5","Spotify","the crowdsourced way (see above)","2","","Spotify;GitHub","Facebook","","help code or test a feature;help write documentation & vignettes",""
"2020/03/05 6:30:37 PM EST","4","5","5","often","4","3","1 (never)","2","2","â¤ï¸love it","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","â¤ï¸love it","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","5","5","Always Spotify","5","I pay for Spotify Premium because it has most of the music I listen to (and keeps updating w. more), and it syncs with my macbook/iphone/google home based on where I started playing music. The second part is especially cool because it creates a seamless experience when switching devices. I'm not sure of other services that do something like that.","the crowdsourced way (see above)","4","I wanted to quickly say bots might be cool but it might cause a lot of noise. I had the same concern for integration with Twitter; folks might not like seeing flurry of tweets on who's listening to what? (in fact dunno if I've seen this on Twitter). 

I think the ability to programmatically create / edit / share? playlists is a great idea! It's something I had wanted to do but never found the time. The question will be how easy that process is compared to manual playlist creation/sharing that services already provide. Still a very worthwhile project!","Spotify","Google;Facebook","","bounce ideas around on design or implementation strategy;retweet about a cool finished product",""
"2020/03/07 12:03:17 AM EST","5","4","3","sometimes","2","4","1 (never)","3","2","â¤ï¸love it","ğŸ¤I'm curious","âŒno interest","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","âŒno interest","ğŸ¤I'm curious","","3","","5","bandcamp","the simple way (see above)","3","","GitHub;I think you'd do better with a different method of authentication (please specify in comments at the end of the section!)","Facebook;Apple;Amazon","","",""
"2020/03/07 12:10:24 AM EST","5","1","","","","","","","2","","","","","â¤ï¸love it","","","","","","","","","","","","","","","","","","I can't focus when I'm listening to music, but this sounds like a really cool idea."
"2020/03/07 12:36:48 AM EST","5","3","3","often","4","4","2","2","1","ğŸ¤I'm curious","âŒno interest","âŒno interest","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","3","5","Google Play, YouTube, owned music","2","","the crowdsourced way (see above)","3","","Google;Twitter;GitHub","Facebook;Spotify;Apple;Amazon;GitLab;Bitbucket","","",""
"2020/03/07 3:19:35 AM EST","5","3","5","sometimes","5 (almost always)","2","1 (never)","1 (never)","1","The idea is nice, but when you have very specific listening habits it will be difficult to find a common ground.","Again, nice idea, but I'd rarely use it because I prefer listening to physical records from my own collection.","I wouldn't post about streams on Twitter. If I feel like posting a record I take a photo of the artwork. ","âŒno interest","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤·â€â™€ï¸maybe?","5","4","I  feel I am the wrong person to answer this questionnaire, which is a shame because I am a coding music nerd who spends hundreds of euros on records each month...  :D

I check out bands on YouTube, or, if not available, on Bandcamp (grudgingly because of the poor stream quality). If I like it I buy a record or CD. I dislike the idea of paying for streams or downloads because 1) the artists in most cases basically don't see any of the money and 2) I don't get a product I can hold in my hands.","5","First press vinyl records. I will never pay for music streaming services.","no preference","3","","I think you'd do better with a different method of authentication (please specify in comments at the end of the section!)","Google;Twitter;Facebook;Spotify;Apple;Amazon","I don't know a lot about how OAuth2 works in detail but I tend to want to minimize the information flow about my digital self between different companies (e.g. Facebook doesn't HAVE to know how I am called on Twitter or Discogs or so, and vice versa).","retweet about a cool finished product","I am sorry I am not helpful at all. I am just not a streaming person, but I just hope it may be interesting to also have a collector's perspective. 

I guess for this project it will not be terribly useful, but if you need the perspective of an R user who is a music nerd with a collector mentality and a knack for physical formats get in touch on Twitter: @RomanMLink"
"2020/03/10 6:34:53 PM EST","5","2","2","never","4","2","1 (never)","1 (never)","2","ğŸ¤I'm curious","ğŸ¤I'm curious","âŒno interest","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","ğŸ¤·â€â™€ï¸maybe?","ğŸ¤I'm curious","â¤ï¸love it","ğŸ¤I'm curious","ğŸ¤·â€â™€ï¸maybe?","3","3","Google","5","Google","the crowdsourced way (see above)","3","","Google;GitHub","Twitter;Facebook;Apple","","",""
"2020/03/10 10:24:40 PM EST","4","5","3","sometimes","5 (almost always)","1 (never)","3","2","2","ğŸ¤I'm curious","ğŸ¤I'm curious","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","â¤ï¸love it","3","2","Apple (but only because I â€˜ownâ€™ anything Iâ€™ve downloaded with my student subscription). Otherwise I would answer purely â€™owned musicâ€™","5","Apple (but only because I â€˜ownâ€™ anything Iâ€™ve downloaded with my student subscription).","the crowdsourced way (see above)","1","Biggest wish is breadth of genres/artists/specific recordings. Wouldnâ€™t want integration with various streaming services to hinder that. ","Google;Apple;Amazon;GitHub","Twitter;Facebook","Donâ€™t want to have to â€œsellâ€ my privacy in any way to gain functionality or convenience.","help code or test a feature;retweet about a cool finished product",""
"2020/03/15 2:36:07 AM EST","5","3","5","sometimes","1 (never)","3","1 (never)","2","4","ğŸ¤I'm curious","ğŸ¤I'm curious","âŒno interest","ğŸ¤·â€â™€ï¸maybe?","â¤ï¸love it","â¤ï¸love it","âŒno interest","ğŸ¤·â€â™€ï¸maybe?","âŒno interest","ğŸ¤·â€â™€ï¸maybe?","3","4","Local radio podcast, Spotify, Google / YouTube, Iheartradio","2","Local radio service","the crowdsourced way (see above)","3","","","Google;Twitter;Facebook;Apple;Amazon","","",""